LeafLength	Marker	FileName
99.0102	1	20180220_155138.jpg
274.2243	1	20180220_155138.jpg
213.8157	1	20180220_155138.jpg
173.5833	1	20180220_155138.jpg
99.0623	2	20180220_155141.jpg
272.8021	2	20180220_155141.jpg
212.4905	2	20180220_155141.jpg
172.4982	2	20180220_155141.jpg
92.7056	3	20180220_155650.jpg
220.4035	3	20180220_155650.jpg
323.5482	3	20180220_155650.jpg
237.2142	3	20180220_155650.jpg
92.7550	4	20180220_155653.jpg
219.0911	4	20180220_155653.jpg
325.0384	4	20180220_155653.jpg
234.2284	4	20180220_155653.jpg
104.9803	5	20180220_160118.jpg
227.9490	5	20180220_160118.jpg
306.5824	5	20180220_160118.jpg
224.6997	5	20180220_160118.jpg
105.6728	6	20180220_160120.jpg
228.6289	6	20180220_160120.jpg
305.0798	6	20180220_160120.jpg
225.7215	6	20180220_160120.jpg
107.1053	7	20180220_160542.jpg
215.4328	7	20180220_160542.jpg
294.7626	7	20180220_160542.jpg
196.6403	7	20180220_160542.jpg
107.9589	8	20180220_160544.jpg
218.4250	8	20180220_160544.jpg
297.2911	8	20180220_160544.jpg
198.2670	8	20180220_160544.jpg
123.4809	9	20180220_161159.jpg
273.4587	9	20180220_161159.jpg
421.5155	9	20180220_161159.jpg
299.3212	9	20180220_161159.jpg
120.7832	10	20180220_161201.jpg
274.3270	10	20180220_161201.jpg
420.9100	10	20180220_161201.jpg
299.7594	10	20180220_161201.jpg
109.4826	11	20180220_161532.jpg
255.6252	11	20180220_161532.jpg
375.9463	11	20180220_161532.jpg
286.3230	11	20180220_161532.jpg
109.2968	12	20180220_161534.jpg
256.1099	12	20180220_161534.jpg
376.6319	12	20180220_161534.jpg
284.6449	12	20180220_161534.jpg
110.3084	13	20180220_162021.jpg
258.0021	13	20180220_162021.jpg
408.6682	13	20180220_162021.jpg
289.6067	13	20180220_162021.jpg
109.6743	14	20180220_162022.jpg
257.6830	14	20180220_162022.jpg
411.6717	14	20180220_162022.jpg
292.1073	14	20180220_162022.jpg
123.6622	15	20180220_162305.jpg
266.6946	15	20180220_162305.jpg
446.3122	15	20180220_162305.jpg
324.5421	15	20180220_162305.jpg
125.1421	16	20180220_162307.jpg
269.3404	16	20180220_162307.jpg
450.0609	16	20180220_162307.jpg
327.2016	16	20180220_162307.jpg
122.3990	17	20180220_162314.jpg
273.3359	17	20180220_162314.jpg
445.6127	17	20180220_162314.jpg
325.7601	17	20180220_162314.jpg
122.4713	18	20180220_162314(0).jpg
277.1480	18	20180220_162314(0).jpg
446.2934	18	20180220_162314(0).jpg
325.2473	18	20180220_162314(0).jpg
126.7717	19	20180220_162946.jpg
266.1705	19	20180220_162946.jpg
404.1908	19	20180220_162946.jpg
268.2697	19	20180220_162946.jpg
122.6506	20	20180220_162947.jpg
259.6016	20	20180220_162947.jpg
396.1904	20	20180220_162947.jpg
261.9501	20	20180220_162947.jpg
95.6224	21	20180220_163446.jpg
234.2489	21	20180220_163446.jpg
384.4639	21	20180220_163446.jpg
283.3894	21	20180220_163446.jpg
96.1738	22	20180220_163448.jpg
232.6555	22	20180220_163448.jpg
388.8388	22	20180220_163448.jpg
282.1300	22	20180220_163448.jpg
91.3356	23	20180220_164111.jpg
219.4783	23	20180220_164111.jpg
357.9768	23	20180220_164111.jpg
229.8789	23	20180220_164111.jpg
89.6492	24	20180220_164113.jpg
218.9981	24	20180220_164113.jpg
356.9957	24	20180220_164113.jpg
229.6484	24	20180220_164113.jpg
74.3134	25	20180220_165051.jpg
170.3275	25	20180220_165051.jpg
294.4325	25	20180220_165051.jpg
198.3407	25	20180220_165051.jpg
74.8369	26	20180220_165054.jpg
181.1696	26	20180220_165054.jpg
298.3259	26	20180220_165054.jpg
199.9036	26	20180220_165054.jpg
101.8953	27	20180222_120621.jpg
